#EEP	M/Mo	LogTeff	LogG	LogL/Lo	U	B	V	R	I	J	H	Ks	Kp	D51
217	1.041295	3.6586	2.5215	1.5217	3.7804	2.5770	1.4115	0.8073	0.2775	-0.5348	-1.1264	-1.2217	0.9889	1.7803
218	1.041324	3.6587	2.5239	1.5199	3.7812	2.5797	1.4149	0.8112	0.2819	-0.5298	-1.1209	-1.2161	0.9927	1.7831
219	1.041349	3.6590	2.5274	1.5171	3.7824	2.5837	1.4200	0.8169	0.2883	-0.5225	-1.1130	-1.2079	0.9985	1.7875
220	1.041372	3.6592	2.5318	1.5138	3.7847	2.5891	1.4266	0.8243	0.2963	-0.5135	-1.1033	-1.1980	1.0058	1.7933
221	1.041392	3.6594	2.5365	1.5101	3.7874	2.5950	1.4340	0.8324	0.3051	-0.5037	-1.0926	-1.1870	1.0138	1.7997
222	1.041410	3.6598	2.5414	1.5063	3.7908	2.6018	1.4420	0.8413	0.3146	-0.4930	-1.0813	-1.1754	1.0227	1.8069
223	1.041427	3.6600	2.5467	1.5021	3.7943	2.6087	1.4504	0.8505	0.3246	-0.4818	-1.0694	-1.1632	1.0317	1.8144
224	1.041442	3.6603	2.5521	1.4978	3.7979	2.6160	1.4591	0.8601	0.3350	-0.4703	-1.0570	-1.1506	1.0413	1.8222
225	1.041455	3.6605	2.5577	1.4933	3.8017	2.6235	1.4681	0.8700	0.3457	-0.4585	-1.0443	-1.1376	1.0511	1.8303
226	1.041468	3.6609	2.5634	1.4887	3.8056	2.6314	1.4775	0.8802	0.3567	-0.4462	-1.0312	-1.1242	1.0613	1.8387
227	1.041723	3.6620	2.5820	1.4751	3.8100	2.6506	1.5027	0.9091	0.3892	-0.4087	-0.9904	-1.0820	1.0900	1.8596
228	1.041988	3.6586	2.5033	1.5400	3.7355	2.5298	1.3631	0.7594	0.2311	-0.5812	-1.1729	-1.2678	0.9414	1.7303
229	1.042217	3.6551	2.4292	1.6003	3.6736	2.4216	1.2360	0.6217	0.0850	-0.7417	-1.3438	-1.4421	0.8051	1.6142
230	1.042419	3.6518	2.3598	1.6566	3.6197	2.3229	1.1190	0.4944	-0.0508	-0.8914	-1.5034	-1.6053	0.6789	1.5084
231	1.042599	3.6488	2.2984	1.7062	3.5769	2.2386	1.0179	0.3836	-0.1698	-1.0232	-1.6442	-1.7496	0.5690	1.4183
232	1.042760	3.6453	2.2276	1.7630	3.5293	2.1424	0.9024	0.2569	-0.3061	-1.1746	-1.8061	-1.9155	0.4431	1.3153
233	1.042901	3.6417	2.1567	1.8196	3.4851	2.0486	0.7886	0.1317	-0.4416	-1.3255	-1.9680	-2.0816	0.3188	1.2144
234	1.043026	3.6381	2.0866	1.8753	3.4453	1.9583	0.6785	0.0099	-0.5744	-1.4740	-2.1274	-2.2454	0.1976	1.1172
235	1.043134	3.6345	2.0189	1.9289	3.4097	1.8730	0.5736	-0.1062	-0.7019	-1.6169	-2.2809	-2.4035	0.0817	1.0255
236	1.043232	3.6308	1.9498	1.9830	3.3778	1.7892	0.4700	-0.2216	-0.8303	-1.7616	-2.4365	-2.5641	-0.0337	0.9356
237	1.043318	3.6271	1.8823	2.0356	3.3492	1.7098	0.3713	-0.3319	-0.9545	-1.9023	-2.5875	-2.7202	-0.1444	0.8501
238	1.043394	3.6235	1.8179	2.0856	3.3241	1.6364	0.2798	-0.4347	-1.0719	-2.0359	-2.7313	-2.8691	-0.2481	0.7710
239	1.043461	3.6198	1.7542	2.1349	3.3007	1.5659	0.1916	-0.5341	-1.1872	-2.1677	-2.8735	-3.0163	-0.3488	0.6950
240	1.043523	3.6163	1.6916	2.1832	3.2786	1.4990	0.1074	-0.6292	-1.2997	-2.2969	-3.0133	-3.1611	-0.4458	0.6223
241	1.043578	3.6127	1.6305	2.2302	3.2575	1.4355	0.0275	-0.7196	-1.4086	-2.4226	-3.1493	-3.3023	-0.5386	0.5529
242	1.043627	3.6092	1.5705	2.2762	3.2371	1.3751	-0.0484	-0.8058	-1.5153	-2.5462	-3.2831	-3.4410	-0.6279	0.4864
243	1.043671	3.6058	1.5116	2.3213	3.2186	1.3184	-0.1198	-0.8869	-1.6194	-2.6674	-3.4143	-3.5773	-0.7132	0.4237
244	1.043711	3.6023	1.4540	2.3649	3.2036	1.2674	-0.1851	-0.9617	-1.7196	-2.7854	-3.5421	-3.7103	-0.7930	0.3671
245	1.043747	3.5988	1.3972	2.4081	3.1876	1.2191	-0.2472	-1.0332	-1.8179	-2.9018	-3.6684	-3.8418	-0.8702	0.3128
246	1.043780	3.5955	1.3412	2.4503	3.1698	1.1735	-0.3064	-1.1014	-1.9136	-3.0155	-3.7921	-3.9707	-0.9445	0.2602
247	1.043809	3.5921	1.2872	2.4911	3.1498	1.1308	-0.3625	-1.1662	-2.0055	-3.1248	-3.9115	-4.0954	-1.0156	0.2098
248	1.043836	3.5887	1.2337	2.5312	3.1302	1.0915	-0.4139	-1.2262	-2.0953	-3.2326	-4.0291	-4.2181	-1.0829	0.1628
249	1.043862	3.5854	1.1813	2.5704	3.1111	1.0557	-0.4602	-1.2809	-2.1826	-3.3383	-4.1443	-4.3384	-1.1463	0.1193
250	1.043884	3.5823	1.1302	2.6085	3.0934	1.0233	-0.5008	-1.3293	-2.2672	-3.4415	-4.2564	-4.4557	-1.2052	0.0796
251	1.043905	3.5790	1.0796	2.6462	3.0753	0.9938	-0.5366	-1.3727	-2.3504	-3.5438	-4.3671	-4.5716	-1.2609	0.0423
252	1.043924	3.5758	1.0308	2.6824	3.0585	0.9693	-0.5660	-1.4100	-2.4294	-3.6421	-4.4736	-4.6832	-1.3117	0.0094
253	1.043942	3.5727	0.9823	2.7181	3.0425	0.9500	-0.5892	-1.4417	-2.5062	-3.7394	-4.5789	-4.7936	-1.3587	-0.0201
254	1.043958	3.5695	0.9347	2.7530	3.0271	0.9352	-0.6071	-1.4680	-2.5810	-3.8347	-4.6824	-4.9020	-1.4018	-0.0468
255	1.043972	3.5663	0.8882	2.7870	3.0139	0.9258	-0.6191	-1.4893	-2.6522	-3.9277	-4.7831	-5.0076	-1.4408	-0.0693
256	1.043987	3.5632	0.8428	2.8201	3.0022	0.9230	-0.6228	-1.5044	-2.7195	-4.0187	-4.8818	-5.1111	-1.4753	-0.0866
257	1.044000	3.5602	0.7983	2.8525	2.9935	0.9271	-0.6186	-1.5139	-2.7825	-4.1073	-4.9781	-5.2120	-1.5053	-0.0991
258	1.044011	3.5572	0.7545	2.8841	2.9877	0.9374	-0.6074	-1.5188	-2.8426	-4.1944	-5.0726	-5.3112	-1.5320	-0.1085
259	1.044022	3.5541	0.7116	2.9151	2.9809	0.9553	-0.5842	-1.5147	-2.8985	-4.2796	-5.1653	-5.4086	-1.5530	-0.1110
260	1.044033	3.5513	0.6699	2.9450	2.9715	0.9805	-0.5478	-1.5012	-2.9491	-4.3626	-5.2555	-5.5033	-1.5677	-0.1054
261	1.044043	3.5484	0.6289	2.9745	2.9568	1.0204	-0.4852	-1.4686	-2.9929	-4.4451	-5.3445	-5.5966	-1.5710	-0.0841
262	1.044052	3.5454	0.5885	3.0033	2.9294	1.0710	-0.3957	-1.4167	-3.0285	-4.5256	-5.4324	-5.6890	-1.5631	-0.0489
263	1.044060	3.5427	0.5492	3.0314	2.8981	1.1282	-0.2910	-1.3569	-3.0570	-4.6049	-5.5182	-5.7790	-1.5490	-0.0036
264	1.044068	3.5399	0.5107	3.0588	2.8661	1.1970	-0.1664	-1.2863	-3.0762	-4.6833	-5.6025	-5.8673	-1.5259	0.0565
265	1.044075	3.5371	0.4727	3.0858	2.8353	1.2844	-0.0108	-1.1987	-3.0822	-4.7627	-5.6860	-5.9546	-1.4891	0.1389
266	1.044083	3.5344	0.4356	3.1120	2.8119	1.3801	0.1603	-1.1129	-3.0737	-4.8417	-5.7677	-6.0401	-1.4461	0.2406
267	1.044090	3.5317	0.3991	3.1376	2.7929	1.4750	0.3270	-1.0341	-3.0598	-4.9185	-5.8477	-6.1239	-1.4037	0.3467
